State,City,Hospital / Private,Category,Systems of Medicine,Contact Details,Area Pin Code,Email address,Website link,Specializations,Services
Jammu and Kashmir,Srinagar,"Government Medical College, Srinagar",Public,Allopathic,"Karan Nagar, Srinagar, Kashmir, Jammu and Kashmir, Phone- (0194) 2453114, Fax- (0194) 2453115",190010,NA,NA,NA,NA
Jharkhand,Hazaribagh,Patliputra Medical College and Hospital,Public,Allopathic,"Patliputra Medical College, BCCL Township, Hazaribagh, Jharkhand, Phone- (0326) 2236000",825301,NA,http://www.pmchdhanbad.com/EN/index.aspx,"Anatomy, Physiology, Biochemistry, Pathology, Pharmacology, Microbiology, FMT, PC Medicine, General Medicine, Pediatrics, Skin & VD, Psychiatry, Radiology, General Surgery, Orthopaedics, Anaesthesia, ENT, Eye, Obstetrics and Gynaecology, Dentistry, Dialysis Unit, ICU-ICCU",NA
Jharkhand,Jamshedpur,Mahatma Gandhi Memorial Medical College and Hospital,Public,Allopathic,"MGM Medical College, Dimna Roand, Jharkhand , Phone- (0651) 2360859, Fax- (0657) 2360859",831001,info@mgmmedicalcollege.org,http://www.mgmmedicalcollege.org/,NA,NA
Jharkhand,Ranchi,Rajendra Institute of Medical Sciences,Public,Allopathic,"Rajendra Medical College and Hospital, Rajendra Institute of Medical Sciences Bariatu, Ranchi, Jharkhand, Phone-(0651) 2541533",834009,NA,http://www.rimsranchi.org/,NA,NA
Karnataka,Bengaluru,St.John's Medical College Hospital,Private,Allopathic,"Sarjapur Road, John Nagar, Koramangala, Bengaluru, Karnataka, Phone- (080) 22065230, 22065504, 22065505, 22065508/ Fax- (080) 22065105",560034,sjmcbng@rguhs.nic.in,http://www.stjohns.in/hospital/#sthash.1e07FWcp.dpuf,"Anaesthesiology, Clinical Nutrition, Clinical Psychology, Dental Surgery, Dermatology, Emergency Medicine, General Medicine, General Surgery, Obstetricsand Gynaecology, Ophthalmology, Orthopedic, Otorinolaryngology (ENT), Pediatrics, Physical Medicine and Rehabilitation, Psychiatry, Cardiology, Chest Medicine, Cardiac Thoracic surgery, Diabetes & Endocrinology, Gastroenterology, Gynaecologic Oncology, Surgical Oncology, Nephrology, Neurology, Neuro Surgery, Paediatric Surgery, Pain and Palliative Care Unit, Plastic Reconstructive Surgery & Burns, Urology including Endourology, Renal transplantation and Treatment of Erectile Dysfunction",NA
Karnataka,Bengaluru,Columbia Asia Hospital,Private,Allopathic,"Columbia Asia Hospital, Hebbal Kempapura, Bengaluru, Karnataka 560024, Phone- (080) 41791000 , 30123456",560024,customercare.hblr@columbiaasia.com,http://www.columbiaasia.com/india/hospitals/hebbal,"Anesthesiology, Bariatric Surgery, Cardiology, Critical Care Medicine, Dermatology, Emergency Medicine, Endocrinology, ENT, Gastroenterology, General Surgery, Infectious Diseases, Internal Medicine, Neonatology, Nephrology and Renal Transplant, Neurology, Neurosurgery, Obstetrics& Gynaecology, Ophthalmology, Orthopedics, Pain Management, Pediatric Surgery, Pediatrics, Plastic & Reconstructive Surgery, Psychiatry, Pulmonology, Rheumatology, Urology, Vascular Surgery","Biochemistry, Microbiology, Clinical pathology, Histopathology, Cytology"
Karnataka,Bengaluru,"Apollo Hospitals, Bangalore",Private,Allopathic,"154/11, Opp, I.I.M, Bannerghatta Road, Bengaluru , Karnataka, Phone- (080) 26304050/ 4051, Toll Free: 1066, Emergency: (080) 26304126",560076,customercare_bangalore@apollohospitals.com,www.apollohospitalsbangalore.com,"Anesthesiology,  Cardiology,  Dentistry,  Dermatology,  Emergency Medicine,  Endocrinology,  ENT, Gastroenterology,  General Medicine,  General Surgery,  Laboratory Medicine,  Medical Oncology,  Neonatology,  Nephrology,  Neuro Surgery,  Neurology,  Nuclear Medicine,  Obstetricsand Gynaecology,  Ophthalmology,  Orthopedics,  Pediatric Surgery , Pediatrics,  Plastic Surgery,  Psychiatry,  Pulmonology,  Radiation Oncology,  Radiology Surgical Oncology Urology",Thallium Laser-First in India Holmium Laser First in South India Digital X-Ray First in Karnataka 64 slice CT angiogram 1.5 Tesla MRI Flat Panel Cath Laboratory Low energy & High energy Linear Accelerators Navigation System for accuracy in surgical procedures 4-D Ultrasound for 4 dimensional sonography Digital Fluoroscopy Gamma Camera
Karnataka,Bengaluru,Narayana Hrudayalaya Hospitals,Private,Allopathic,"No.258/A, Bommasandra Industrial Area, Hosur Road, Anekal Taluk, Bengaluru , Karnataka, Phone- (080) 71222222",560099,info@hrudayalaya.com,www.narayanahospitals.com,"Anesthesiology,  Cardiology,  Cosmetic Surgery,  Critical Care,  Dermatology,  Diabetology,  Endocrinology,  ENT,  Family Medicine, Gastroenterology,  General Medicine,  General Surgery,  Interventional Cardiology,  Maxillofacial Surgery,  Medical Oncology,  Nephrology,  Neuro Surgery,  Neurology,  Nuclear Medicine,  Obstetricsand Gynaecology,  Oncology,  Ophthalmology,  Pain Management,  Pediatric Cardiology, Pediatrics,  Physiotherapy,  Psychiatry,  Pulmonology,  Radiation Oncology,  Radio-Diagnosis,  Rheumatology  Urology",Laboratory Services
Karnataka,Bengaluru,Ananya Hospital,Private,Allopathic,"No. 389/44, 19th Main, 1st Block, Rajajinagar, Bengaluru , Karnataka, Phone- (080) 23527411, 23527422, Emergency: (080) 23527411, 09980783835",560010,enquiries@ananyahospital.org,www.ananyahospital.org,"Cardiology,  Cosmetology,  Dermatology,  Diabetology,  Emergency Medicine,  ENT, Gastroenterology, General Medicine, General Surgery,  Internal Medicine, Laparoscopic Surgery,  Medical Oncology,  Nephrology,  Obesity,  Obstetricsand Gynaecology,  Ophthalmology,  Orthopedics,  Pediatrics,  Physiotherapy,  Plastic Surgery,  Psychiatry,  Spine Surgery,  Surgical Oncology","Scan, Blood Test, X-ray"
Karnataka,Bengaluru,National Institute of Mental Health and Neuro Sciences (NIMHANS),Public,Allopathic,"Hosur Road, Bengaluru , Karnataka, Phone- (080) 26995001, 26564140",560029,"rmo@nimhans.kar.nic.in , ms@nimhans.kar.nic.in",www.nimhans.kar.nic.in,"Neuro Psychiatry,  Neuro Psychology,  Neuro Surgery,  Neurology,  Neurophysiology",NA
Karnataka,Bengaluru,Columbia Asia Referral Hospital,Private,Allopathic,"26/4, Brigade Gateway, Malleswaram West, Bengaluru, Phone- (080) 3989 8969",560055,NA,www.columbiaasia.com,"Anesthesiology,  Bariatric Surgery,  Cardiology,  Dermatology,  Endocrinology,  ENT, Gastroenterology,  General Surgery,  haematology,  Immunology,  Internal Medicine,  Kidney Transplantation,  Laparoscopic Surgery,  Medical Oncology,  Neonatology,  Neuro Surgery,  Neurology,  Orthopedic Surgery,  Pain Management,  Pathology,  Pediatric Surgery,  Pediatrics & Neonatology,  Plastic & Reconstructive Surgery,  Psychiatry,  Pulmonology,  Renal Transplant,  Rheumatology,  Surgical Oncology,  Urology,  Vascular Surgery","24-hour Services, Emergency Room, Laboratory, Pharmacy, Ambulance, Ambulatory & Day Care, Cafeteria, Blood Bank, Operating Theatre"
Karnataka,Bengaluru,Manipal Hospital,Private,Allopathic,"98, HAL Airport Road, Bengaluru , Karnataka, Phone- (080) 25024444 / 3344 , 2502 3888",560017,info@manipalhospitals.com,www.manipalhospitals.com,"Anesthesiology,  Cardiology,  Dentistry,  Dermatology,  Diabetology,  Endocrinology,  ENT,  Fetal Medicine, Gastroenterology,  General Surgery,  haematology,  Nephrology,  Neurology,  Nuclear Medicine,  Obstetrics and Gynaecology,  Ophthalmology,  Orthopedics,  Pediatrics,  Plastic Surgery,  Psychiatry,  Rheumatology,  Urology,  Vascular Surgery","Air Ambulance, X-ray, Blood Tests, Hearse Van, Home Delivery, Scan, Pharmacy, Laboratory & Diagnostic, Services"
Karnataka,Bengaluru,"Fortis Hospitals, Bannerghatta Road",Private,Allopathic,"154/9, Bannerghatta Road, Opp.IIM-B, Bengaluru, Karnataka, Phone- (080) 66214444, 09663367253",560076,enquiries@fortishospitals.in,www.fortishospitals.com,"Andrology,  Cardiology,  Cardiothoracic Surgery,  Cardiovascular Surgery,  Dentistry,  Diabetology,  Endocrinology  ENT,  Fetal Medicine, Gastroenterology,  Gynaecology,  Internal Medicine,  Liver Transplant,  Minimally Invasive, Cardiac Surgery,  Nephrology,  Neuro Surgery,  Neurology,  Obstetricsand Gynaecology,  Oncology,  Ophthalmology,  Pediatric Cardiac Surgery,  Pediatrics,  Plastic & Reconstructive Surgery,  Psychiatry,  Respiratory Medicine,  Surgical Oncology,  Urology",NA
Karnataka,Bengaluru,"Kidwai Cancer Institute, Bangalore",Private,Allopathic,"Dr. M.H Marigowda Road, Bengaluru, Karnataka, Phone- (080) 26094000",560 029,NA,www.kidwai.kar.nic.in,Oncology,Blood Transfusion ServicesCancer Control ActivitiesMobile Cancer Education & Detection Unit (MCEDU)
Karnataka,Bengaluru,BGS Global Hospitals,Private,Allopathic,"67, Uttarahalli Road, Kengeri, Bengaluru, Karnataka, Phone- (080) 26255555, Emergency: (080) 24242424",560060,web.enquiries@globalhospitalsindia.com,www.globalhospitalsindia.com,"Bariatric Surgery,  Cardiology,  Cosmetology,  Critical Care,  Dentistry,  Dentistry & Maxillofacial Surgery  Dermatology,  Diabetology,  Emergency Medicine,  ENT and Head & Neck Surgery, Gastroenterology,  General Medicine,  Joint Replacement Surgery Neurology,  Pain Management,  Pediatric Cardiology,  Pediatrics,  Pulmonology,  Reconstructive Surgery,  Rheumatology,  Spine Related Disorders,  Sports Medicine,  Trauma Surgery,  Urology,  Vascular Surgery","Operation Theatres, Intensive Care Units (ICU), Endoscopy, ERCP, Lab Services, Dialysis, Cath Lab & EP Lab, CT Scan & Ultrasound, IVUS-FFR, PET Scan, Magnetic Resonance, Imaging (MRI)"
Karnataka,Bengaluru,Vagus Super Speciality Hospital,Private,Allopathic,"6/7/8, 4th Main, 18th Cross, Chitrashilpi Venkatappa Road, Malleshwaram, Bengaluru, Karnataka, Phone- (080) 23569970, 23082900, ICU Number: 09686111830, Ambulance: 09686111834",560003,info@vagushospital.com,www.vagushospital.com,Anesthesiology Cardiology Cardiothoracic Surgery Critical Care Dentistry Dermatology Endocrinology ENT Gastroenterology Gastrointestinal Medicine General Medicine General Surgery Gynaecology Laboratory Medicine Maxillofacial Surgery Neonatology Nephrology Neurology Ophthalmology Orthopedics Pathology Pediatric Surgery Plastic & Reconstructive Surgery Psychiatry Pulmonology Radio-Diagnosis Respiratory Medicine Transfusion Medicine Urology,MRICTOPDUSG & Color DopplerECHO & TMTDigital X RayLabHealth Checkups24 hour ambulance serviceEEG & ENMGNerve Conduction StudiesBone Mineral DensityNST
Karnataka,Bengaluru,Mallya Hospital,Private,Allopathic,"No.2 Vittal Mallya Road, Bengaluru, Karnataka, Phone- (080) 22277979, Emergency: (080) 22242325",560001,info@mallyahospital.net,www.mallyahospital.net,"Cardiology, Cardiothoracic Surgery, Dentistry, Dermatology, Endocrinology, ENT, Gastroenterology, General Surgery,  Maxillofacial Surgery, +J681 Minimally Invasive, Cardiac Surgery  Nephrology,  Neuro Surgery,  Neurology,  Oncology ,  Ophthalmology,  Orthodontics,  Orthopedics,  Pediatric Cardiology,  Pediatric Surgery,  Pediatrics,  Plastic Surgery , Surgical Oncology ,  Vascular Surgery,","Trauma Service, Spine Service,, Spine Service, Neuro , Endoscopy Health, Diagnosis Program, 24-Hours Support Service, Intensive Care Unit, Day Care Services, Dietician"
Karnataka,Bengaluru,"Nova Specialty Surgery Center, Koramangala",Private,Allopathic,"Opus, 143, 1st Cross, 5th Block, Koramangala, Bengaluru, Karnataka, Phone- (080) 43485555",560034,info@novamedicalcenters.com,www.novaspecialtysurgery.com,Anesthesiology Bariatric Surgery Dermatology Diabetology Dietetics ENT Gastroenterology General Medicine General Surgery Gynaecology Joint Replacement Surgery Laparoscopic Surgery Maxillofacial Surgery Ophthalmology Oral Surgery Orthopedic Surgery Orthopedics Pain Management Pediatric Surgery Physiotherapy Plastic Surgery & Cosmetic Surgery Radiology Spine Surgery Surgical Oncology Urology Vascular Surgery,PharmacyEmergency ServicesOperating TheatresDiagnostic EquipmentPathological Laboratory
Karnataka,Bengaluru,Sri Jayadeva Institute of Cardiovascular Sciences and Research,Private,Allopathic,"9th Block, Bannerghatta Road, Jayanagar, Bengaluru, Karnataka, Phone-(080) 22977400, (080) 22977500, Emergency: (080) 22977202, Ambulance: (080) 22977202 / 249 / 267 / 500 / 600",560069,info@jayadevacardiology.com,www.jayadevacardiology.com,"Cardiology, Cardiovascular Surgery, Electrophysiology, Pediatric, Cardiology","Ambulance Services, 24 hours Emergency, Service, ICUColor Doppler , Echocardiography, TEE, Stress ECG, Myocardial , Perfusion ScanCardiac, Catheterization: Coronary , AngiogramAngioplasty Stenting, Valvuloplasty, Pacemaker, Device closure Electrophysiology, RF Ablation, EP Studies, Heart Failure DeviceHolter Monitoring,Head Tilt Test, etc., ,Open Heart Surgery Programme, Biochemistry, Pathology and Microbiology Services"
Karnataka,Bengaluru,Bangalore Baptist Hospital,Private,Allopathic,"Hebbal, Bellary Road, Bengaluru, Karnataka, Phone- (080) 22024700, 23437971, 09448496602",560024,"info@bbh.org.in , bbh@bbh.org.in",www.bbh.org.in,Anesthesiology Cardiology Cosmetic Surgery Cosmetology Critical Care Dentistry Dentistry & Maxillofacial Surgery Dermatology Endocrinology Endoscopy ENT Family Medicine Gastroenterology Internal Medicine Laboratory Medicine Laparoscopic Surgery Nephrology Neuro Surgery Neurology Nuclear Medicine Obstetricsand Gynaecology Oncology Ophthalmology Orthopedics Pediatric Surgery Pediatrics Physiotherapy Plastic Surgery Psychiatry Pulmonology Radiation Oncology Radiology Reproductive Medicine Rheumatic Disorders Speech Therapy Spine Related Disorders Spine Surgery Sports Medicine Vascular Surgery,"CT scan Mammography X-Ray Ultra sonographyColor Doppler Ultrasound Scan EEG ENMG Endoscopies including Arthroscopy/ Laparoscopy & Laboratory Blood Bank with Blood Components Round the clock services such as emergency unit, pharmacy etc Well equipped diagnostic and therapeutic center such as Radio Therapy unit, Cath lab, Dialysis unit & Operation Treaters PUVA Therapy Sleep Lab & PFT (Pulmonary Function Test) Well-equipped Physiotherapy unit Birthing Rooms & Painless labor with ANC (Ante-natal Care) Package Diet Counselling Pastoral Care Preventive Health Packages Computerized Vision Testing Adult ICU, CCU, HDU, NICU, PICU Deluxe, Private and Semi-Private Rooms"
Karnataka,Bengaluru,Bangalore Institute of Oncology,Private,Allopathic,"No 8 , P.Kalinga Rao Road Sampangiram Nagar, Bengaluru, Karnataka, Phone- (080) 40206000, 3669999",560027,info@hcgoncology.com,www.hcgoncology.com,Anesthesiology Cardiology Clinical Oncology Gyneac Oncology Hemato Oncology haematology Integrative Oncology Medical Oncology Molecular Oncology Nephrology Nuclear Medicine Oncology Pediatric haematology & Oncology Pediatric Oncology Plastic Surgery Preventive Oncology Radiation Oncology Radiology Surgical Gastroenterology Surgical Oncology Uro Oncology,BrachytherapyCyberknife – Robotic Radio surgeryExternal Beam Radiotherapy (EBRT) or TeletherapyIntensity Modulated Radiotherapy (IMRT) Image Guided Radiotherapy (IGRT) Linear Accelerator
Karnataka,Bengaluru,Bowring and Lady Curzon Hospital,Public,Allopathic,"Lady Curzon Road , Shivaji Nagar, Bengaluru, Karnataka, Phone- (080) 25591325, 25591326",560001,bowringandladycurzonhospital@gmail.com,www.bmcri.org,"Bio-Chemistry,  Cardiology,  Cardiothoracic Surgery,  Dermatology,  ENT,  General Medicine,  General Surgery,  Micro-Biology,  Neurology,  Ophthalmology,  Orthopedics  Pathology,  Pediatric Surgery,  Plastic Surgery,  Psychiatry,  Pulmonology,  Radio-Diagnosis,","14 bedded ICU with State-of-the-art equipment with alpha beds.ICU Ventilator - Drager Evita 4,ICU Monitor - Philips MP 60DefibrillatorVolume and Syringe infusion pump.Central monitoring station.Fibreoptic Laryngoscope.10 bedded ICUs.4 Isolation ICUs.Counselling area.10 beds in Step- Down ICU.2 emergency Trauma OT1 Septic OT.1 Minor OT."
Karnataka,Bengaluru,Vikram Hospital,Private,Allopathic,"No.71/1, Millers Road, Bengaluru, Karnataka, Phone- (080) 71004500, 45004500, Emergency: 18001234500",560052,NA,www.vikramhospital.com,"Bariatric Surgery,  Cardiology,  Cosmetology,  Critical Care,  Dentistry,  Dermatology,  Endocrinology,  ENT,  Gastroenterology,  Gynaecology,  Maxillofacial Surgery,  Medical Oncology,  Nephrology ,  Neuro Surgery,  Neurology,  Orthopedics,  Physiotherapy,  Plastic Surgery,  Pulmonology,  Radiology,  Spine Surgery,  Urology,  Vascular Surgery,","Laboratory, Blood bank, Pharmacy, Ambulance, Emergency"
Karnataka,Bengaluru,Shekar Nethralaya,Private,Allopathic,"3rd Phase, 633, 100 Feet Ring Road, J.P.Nagar , Bengaluru, Karnataka, Phone-(080) 26586211, 26594505",560078,info@shekarnethralaya.com,www.shekarnethralaya.com,"Ophthalmology,  Pediatric Ophthalmology,  Plastic Surgery","Cataract, Lasik and Refractive, Retina & Vitreous, Diabetic Eye CareGlaucoma, Squint, Paediatric Ophthal, Headacha Clinic, General Ophthal"
Karnataka,Bengaluru,Nethradhama Superspeciality Eye Hospital,Private,Allopathic,"256/14, Kanakapura Main Road, 7th Block, Jayanagar, Bengaluru, Karnataka, Phone- (080) 26088000, 26633533, Emergency: 09845195898",560082,appointment@nethradhama.org,www.nethradhama.org,Ophthalmology,NA
Karnataka,Bengaluru,Hosmat Hospital,Private,Allopathic,"45, Magrath Road, Off Richmond Road, Bengaluru, Karnataka, Phone- (080) 25593796, 25543797",560025,mail@hosmatnet.com,www.hosmatnet.com,"Anesthesiology,  Cardiology,  Dentistry,  Diabetology, Endocrinology,  ENT, Gastroenterology,  General Surgery,  Gynaecology,  Orthopedics,  Pediatrics,  Plastic Surgery,  Psychiatry,  Radiology,  Rheumatology,  Vascular Surgery","MRI, CT Scan, CT guided FNAC, (Fine Needle Biopsy), Ultrasonography , and Colour DopplerUltrasound guided FNAC, X-ray with image intensifier /TV monitor, Bone DensitometryEmergency & Accident Trauma Care(with Free Ambulance), ICU(For Accident victims with highest quality anesthetic facilities), Blood Bank, , Ambulance ServicesLaboratory, Pharmacy, Basic Checkup, Master Health Checkup, Executive Health Checkup, Diabetic Health Checkup, Ortho ProfileArthritis Profile"
Karnataka,Bengaluru,Marvel hospitals and Fertility centre,Private,Allopathic,"No-8 1st Main, 1st Block Koramangala ,Bengaluru , Karnataka, Phone-09448841887",560034,NA,http://www.marvelhospitals.com/,"General Medicines, Neurology, CardiologyPediatrics ,ENT,Plastic Surgery",NA
Karnataka,Bengaluru,Sakra World Hospital,Private,Allopathic,"SY NO 52/2 & 52/3, Devarabeesanahalli, Varthur Hobli, Bengaluru, Phone- (080) 49694969",560103,connect@sakraworldhospital.com,http://sakraworldhospital.com/,DentistryDermatologyDiabetics & EndocrinologyEndoscopic SurgeryENTFetal MedicineGastroenterologyGeneral SurgeryInternal MedicineInterventional RadiologyOncologyOphthalmologyPediatricsPaediatric RadiologyPaediatric SurgeryPeripheral Vascular & Endovascular SciencesPlastic & ReconstructiveSports MedicineSurgeryPsychiatryRespiratory MedicineRheumatology,"State-of-the-art ICU with 80 beds,Hybrid OT, 3 Tesla MRI, 128 Slice CT ScanMobile ICU (Ambulance)"
Karnataka,Mangalore,KMC Hospital,Private,Allopathic,"Attavar, Mangalore, Karnataka, Phone- (0824) 2445858, Fax- (0824) 2428379",575001,NA,www.kmchospitalsmangalore.com,NA,"24* 7 Services, State-of-the-Art Ambulance Services, Diagnostic Services (CT, MRI, Ultrasound, X-Ray & CR), Sample Collection Centre , Medical Store8 Operation Theaters,"
Karnataka,Mangalore,"KMC Hospital, Ambedkar Circle",Private,Allopathic,"Ambedkar (Jyothi) Circle, Mangalore, Karnataka, Phone- (0824) 2444590, Fax- (0824) 2421140",575001,NA,www.kmchospitalsmangalore.com,"Anaesthesiology, Biochemistry, Laboratory, Blood Bank, Cardiology, Cardiothoracic Surgery, Critical Care Medicine, Cytology Laboratory, Dental Medicine, Dermatology, ENT, General Surgery, Genetics, Gynaecology, haematology Oncology, General Medicine, Physiotherapy, Plastic Surgery, Psychiatry, Radiology & Imaging, In-Vitro Fertilization , (IVF)/Reproductive Medicine, Medical , Gastroenterology, Microbiology , Laboratory, Minimally Invasive Surgery, Nephrology, Neurology, Neuro Surgery, Dietetics, Ophthalmology, Orthopedic, Paediatric Surgery, Paediatric Urology, Pediatrics, Pathology Laboratory, Respiratory, Medicine/TBRD, Rheumatology, Surgical , Gastroenterology, Urology,","Echo, TMT, ECG, Color Doppler, Holter Monitoring facilities, 24* 7 Services, State -of-the-Art Cardiac & Hi-Tech Ambulance ServicesDiagnostic Services (CT, MRI, Mammogram, Ultrasound, X-Ray & CR), Laboratory Services, (Microbiology, Pathology, Biochemistry, Cytology) - NABL Accredited, Medical Store, Blood Bank - NABH accredited, Dialysis Centre"
Kerala,Alappuzha,"T.D Medical College, Alappuzha",Public,Allopathic,"Vandanam AlappuzhaKerala, Phone- (0477) 2282015",688005,tdmcalappuzha@gmail.com,www.tdmcalappuzha.org,NA,NA
Kerala,Cochin,V.G.Saraf Memorial Hospital,Private,Allopathic,"39 /4603, Sreekandath Road,Ravipuram, Cochin, Kerala, Phone- (0484) 2380452, 2362882, Fax- (0484) 2370595",682016,vgsarafhospital@gmail.com,http://vgsarafhospital.com/,UrologyOrthopedicsGeneral SurgeryGynaecologyLaparoscopic SurgeryPlastic SurgeryENTOphthalmologyPediatricsAnesthesiologyDental and Maxillo-facial surgery,NA
Kerala,Kannur,Pariyaram Medical College,Public,Allopathic,"Pariyaram hospital, Pariyaram, Kannur, Kerala, Phone- (0497) 2808080, 2808111",670503,NA,www.mcpariyaram.com/,NA,NA
Kerala,Karakonam,Dr. Somervell Memorial CSI Medical College,Public,Allopathic,"Karakonam P.O, Thiruvananthapura, Kerala, Phone-(0471) 2250233,2250506, Fax:0471-2250239",695504,NA,http://www.drsmcsimchk.org/,NA,NA
Kerala,Kochi,Amrita Institute Of Medical Sciences,Public,Allopathic,"Ponekkara Post, Kochi, Kerala, Phone- (484 ) 2801234, 285 1234, 400 1234, 681234, Fax: 0091 (0) 4842802020",682041,NA,www.aimshospital.org,NA,NA
Kerala,Kochi,Cochin Medical College and Hospital,Public,Allopathic,"HMT Colony P.O, Kalamassery, Kerala, Phone- (0484) 2411460,2754000",683503,NA,www.cmccochin.org,NA,NA
Kerala,Kochi,Sree Narayana Institute of Medical Science,Public,Allopathic,"Chalakka, P.O. North Kuthiyathodu, Ernakulam Dist., Kerala, Phone- (0484) 2573023, 2573060",683594,info@snims.org,www.snims.org,NA,NA
Kerala,Kochi,Don Bosco Hospital,Private,Allopathic,"N. Paravur, Ernakulam Dist , Kochi, Kerala, Phone- (0484) 2444875, 2444876",683513,donboscohospital@yahoo.com,http://www.donboscohospital.org/,"Anesthesiology,  Cardiology,  Cosmetology,  Dermatology,  ENT,  General Medicine,  General Surgery,  Maxillofacial Surgery,  Obstetricsand Gynaecology,  Ophthalmology,  Orthopedics,  Pediatrics,  Psychiatry,  Radiology,  Urology","24 hours Emergency and Trauma Unit, Laboratory Services, Diagnostic"
Kerala,Kochi,Amrita Institute of Medical Sciences (AIMS),Private,Allopathic,"AIMS Ponekkara P. O, Kochi, Kerala, Phone- (0484) 2801234, 2851234, 4001234, Fax- (0484) 2802020 ,",682041,patientservices@aims.amrita.edu,http://www.aimshospital.org,"Cardiology,  Cardiothoracic Surgery,  Cardiovascular Surgery,  Dermatology,  Emergency Medicine,  Endocrinology, ENT, Gastroenterology,  Gastrointestinal , Medicine,  General Medicine,  General Surgery,  Hepatology,  Kidney Transplantation,  Liver Transplant,  Medical Oncology,  Micro-Biology,  Neonatology  Nephrology  Neuro Surgery,  Neurology  Nuclear Medicine,  Obstetricsand Gynaecology,  Ophthalmology,  Orthopedics,  Pain Management,  Pathology,  Pediatric Cardiology,  Pediatric , Cardiothoracic Surgery,  Pediatric Neurology,  Pediatrics,  Psychiatry,  Pulmonology,  Radiation Oncology,  Speech Therapy,  Surgical Oncology,  Urology",NA
Kerala,Kochi,Punarnava Ayurveda Hospital,Private,Ayush/Ayurveda,"Edappally North P.O, Kochi, Kerala, Phone- (0484) 2801415, 2801416, 09947210000, Fax- (0484) 2801424",682024,mail@punarnava.net,http://www.punarnava.net,Ayurveda,"Pizhichil, Njavarakzhi, Vasthi, Sirovasthi, Udvarthanam, Abhayangam"
Kerala,Kochi,Lourdes Hospital,Private,Allopathic,"Lourde Hospital Road, Ernakulam, Kochi,Kerala,Phone- (0484) 4123456, 4125555",682012,lourdeshospital@vsnl.com,http://www.lourdeshospital.in,Anesthesiology Cardiology Cardiothoracic Surgery Dentistry Dermatology ENT Gastroenterology General Medicine General Surgery Gynaecology Neonatology Nephrology Neuro Surgery Neurology Ophthalmology Orthopedics Pediatrics Radiology,LaboratoryEEGEMGNCVTMT
Kerala,Kolencherry,Malankara Orthodox Syrian Church Medical College (M.O.S.C.M.C),Public,Allopathic,"Ernakulam Distt., Kolencherry, Kerala, Phone- (0484) 3055555, 3055621",682311,NA,www.moscmm.org,NA,NA
Kerala,Kollam,Azeezia Medical College,Public,Allopathic,"Meeyannoor P.O., Kollam, Kerala, Phone- (0474) 3069200",691537,NA,http://www.azeezia.com/,NA,NA
Kerala,Kollam,A.A.Rahim Memorial District Hospital,Public,Allopathic,"Kollam,Kerala,Phone-(0474) 2742004",691001,NA,NA,"Cardiology, Dental, Dermatology, Ent, Gynaecology, Cancer care, Ophthalmology, Orthopedic, Psychiatry, Radiology, Surgery, Urology,","Ct scan, Ecg, X-ray, ambulanceBlood bank / blood storage, 24 hr Casualty, Coronary care unit, Intensive care unit, Biochemistry, haematology, Histopathology, Microbiology"
Kerala,Kollam,CHC Neendakara,Public,Allopathic,"Puthenthura P.O-Neendakara, Kerala, Phone-(0476) 2680227",691588,NA,NA,"Dental, Dermatology, Ent, Gynaecology, Pediatrics, Surgery",haematology
Kerala,Kollam,Dr.A.Shahul Hammed Superintend Taluk Hospital,Public,Allopathic,"Taluk Hospital Punalur, Kerala, Phone- (04752) 222702",691305,NA,NA,"Dental, Dermatology, Ent, Gynaecology, Pediatrics, Surgery","EcgX-ray, ambulanceBlood bank / blood storage24 hr Casualty, BiochemistryhaematologyMicrobiology"
Kerala,Kollam,Govt.Rama Rao Hospital,Public,Allopathic,"Nedungolam, Nedungolam, Kollam,Kerala,Phone- (0474) 2512324, 09447821608",691334,NA,NA,"Antinatal care, Immunisation, Intra uterine, contraceptive, Medical termination, of pregnancy, Tb diagnosis, Tb treatment","ECGX-RAY, AmbulanceBlood bank / blood storage24 hr Casualty, BiochemistryhaematologyMicrobiology"
Kerala,Kollam,Govt. Victoriya Hospital,Public,Allopathic,"Kollam Bazar, Kollam, Kerala, Phone- (0474) 2752700",691001,NA,NA,"Ophthalmology, Pediatrics, Surgery","Ecg, Ultrasonography, ambulance24 hr causality, Biochemistry, haematology"
Kerala,Kollam,Taluk Head Quaters Hospital,Public,Allopathic,"Chirayinkeezhu, Thiruvananthapuram, Kerala, Phone- (0470) 2646565, 2452610",695304,NA,NA,"Dental, Ent, Gynaecology, Ophthalmology, Pediatrics, Psychiatry, Surgery","Ecg, X-ray, blood bank / Blood storage, Biochemistry, haematology"
Kerala,Kollam,Taluk Hospital Kadakal,Public,Allopathic,"Taluk Hospital Kadakkal, Kerala, Phone- (0474) 2423301",691536,NA,NA,Gynaecology,"ECG, Ultrasonography, Biochemistry"
Kerala,Kottayam,"Government Medical College, Kottayam",Public,Allopathic,"Gandhinagar, Kottayam,Kerala,Phone- (0481) 2597284, 2597279",686008,NA,www.kottayammedicalcollege.org,NA,NA
Kerala,Kozhikode,"Government Medical College, Kozhikode",Public,Allopathic,"Medical College Road Kozhikode, Kerala, Phone- (0495) 2359110",673008,NA,www.calicutmedicalcollege.ac.in,NA,NA
